id_XMTQ5NTAwODMzNg==	【爱范儿出品】人工智能 AlphaGo 打败围棋传奇李世石
id_XMTQ5NjkwMTk4NA==	【安卓网】AlphaGo激战李世石 四个划时代人机大战
v05080tuj5x	AlphaGo出现之前40年的世界围棋十大高手动态排名，开始20年基本上被日本人占领，52秒时聂卫平单枪匹马杀入。柯洁用飞一样的速度制霸第一名​​
b01877ze2aq	人机围棋大战 机器人AlphaGo获胜
av10860044	AlphaGo BGM Music
m05290026i4	AlphaGo在比赛前存在的弱点 微信号：读书舍
av10962156	5分钟告诉你阿法狗的算法原理，他凭什么战胜世界第一围棋高手柯洁
av10919892	【台湾新闻】圍棋人機大戰第2回合 柯潔苦戰3小時認輸
v_19rr7dvv3g	柯洁战输Alphago 它已经像是围棋上帝
v_19rr7eng50	人机大战第二季八大看点 柯洁与AlphaGo宣战
id_XMzE0NjM1MjA4OA==	不只是说说! 棋士柯洁: 若能植入芯片 愿找AlphaGo复仇
v_19rrkt0ook	AlphaGo再胜李世石 总比分4:1
av40614080	Alphago后时代，AI开局库第三集 - 重温Master60连胜传奇第一局
id_XMTQ5OTMyMDc4OA==	「科技Time」AlphaGo 新战局 苹果大疆牵手
id_XMjg2MTA4MzMyMA==	马云评价柯洁对战AlphaGo 是悲剧
id_XMjc5MDM3MzYzNg==	AlphaGo战胜柯洁: 围棋的没落是大势所趋、无法阻挡!
id_XMjc4ODkwNzUyNA==	马云评AlphaGo没意义｜小米6劲敌荣耀9曝光【潮资讯】
id_XMjgyODUyMzU4NA==	柯洁惨败AlphaGO后落泪：太完美看不到希望_高清
av4850471	【转】【星际2录像】AlphaGo vs Scarlett pvz 星际争霸2 VOD
o0552y11vyg	AlphaGo背后的团队DeepMind在Twitter上放出纪录
v_19rrku7kr8	AlphaGo逆转战胜李世石总比分4:1
p0526l2lx21	柯洁完败于AlphaGo后落泪哽咽!它太完美!
v_19rrkut0dc	围棋人机大战:AlphaGo的“大脑”哈萨比斯
id_XMjc4MDQyMjU0NA==	柯洁对弈AlphaGo今天落子 看东方 170523
id_XMTUyNDI4MDA4MA==	人机大战第四局“阿尔法狗”认输！李世石AlphaGo人机大战第四回合2
f0508d2vdke	【AlphaGo出现前的40年，世界围棋十大高手动态排名】人机围棋对：第三局弈至209手，柯洁拿起两颗棋子盘上示意认负。AlphaGo出现之前的头20年，基本上...
o00199zq6og	AlphaGo走出诡异一步 古力谨慎称值得学习
id_XMzEwMjQ0NDEzMg==	AlphaGo Zero：不使用人类知识掌握围棋
av10815117	盘点最强人工智能后，柯洁战胜AlphaGo的方法终于出现了
v_19rrkupz9k	人机围棋大战李世石三连败 AlphaGo获最终胜利
v_19rr9xliho	围棋手Master取得60胜据称是升级版AlphaGo
id_XMTQ5OTAyODEyNA==	李世乭 VS Alphago 棋魂版 (搬运)
id_XMzIyNTMwNjg4OA==	AlphaGo围棋教学工具上线
av10903751	[Teaching Practice] General Introduction of AlphaGo
q0507l7xw5n	人机大战第三局柯洁投子认输 AlphaGo三连胜
v_19rrl17zss	王小川：“AlphaGO”麻将赢人类指日可待
v_19rrktrnps	李世石第四局逼AlphaGo认输 获宝贵的一胜
av10773524	「科技V报」柯洁大战AlphaGo结果出炉！360手机N5S正式发布-20170523
id_XMzE0NjkxODczNg==	挫败柯洁的AlphaGo竟被秒杀
id_XMjcwMDk1ODU1Mg==	世界第一棋手柯洁5月底对战AlphaGo 新闻早报 170411
id_XMzEzMTM0OTA2OA==	晓说 2017 高晓松YY未来世界(下) 败给AlphaGo之后 170526 大紧把我童年看过科幻小说留下的童年阴影勾起来了，谢谢大紧
h0715ui9zrv	AlphaGo又把人类打败了？这10部科幻电影带你走向未来
av11435608	【模型测试】world.execute(me);
v_19rr7dzvss	了解围棋:柯洁输AlphaGo的1⁄4子是啥意思
av10434708	青年TV：棋王柯洁
av25487330	【N站弹幕·少】世界围棋选手40年的排名变化（截止16年3月）
v_19rrkutjgw	古力:愿与AlphaGo切磋棋艺 五个九段才能赢它
id_XMTg1OTk0Nzk5Mg==	人机大战 李世石负于Alpha go 晚间体育新闻 20161211
f01872wvd7i	“中国围棋第一人”称AlphaGo弱于自己 不想应
o0019nre9qg	AlphaGo会挑战柯洁吗？ 我们采访了谷歌联合创始人布林
av31656286	【碧蓝航线】PS4版预告视频曝光！3D海战指日可待？
h0653xv64br	柯洁：AlphaGo下棋的方法非常残暴 我的棋风也在改变
id_XMjc4MDc5NTEzMg==	看东方20170523柯洁对弈AlphaGo今天落子 高清
id_XMzAzNDM4MDI0MA==	人机大战纪录片《AlphaGo》预告公开
id_XMTUxODU3MjIyOA==	谷歌AlphaGo再挑战人类 欲打“星际争霸” 160331 新闻空间站
v_19rr7eu2aw	围棋人机大战柯洁不敌AlphaGo 首战失利
id_XMzI0Njc5NTI0NA==	安装配置围棋游戏Sabaki并与AlphaGo对弈
v_19rr9xpnco	alphago连胜人类60盘 乐视ff91电动车
v_19rr7sp82o	马云演讲：100年后AlphaGo之战会让人类羞愧
h1409bgu1zh	围棋世纪大战之AlphaGO的网红之路
id_XMTQ1OTcyMjU0MA==	【创客星球】打败专业围棋手的人工智能 AlphaGo
r05163qm4r6	现代围棋─AlphaGo 阿尔法狗 人机大战（57/64）
av4145222	围棋少年大战AlphaGO
id_XMjcwMzY4MzM1Mg==	20170412【财经速递】人类最后的堡垒？AlphaGo五月决战中国棋王柯洁.mp4
x03954fwik0	韩国人眼中的中国-20170419 AlphaGo挑战柯洁
n0506zngeej	4分钟了解围棋规则：柯洁输给AlphaGo四分之一子是啥意思
av17438791	安装配置围棋游戏Sabaki并与AlphaGo对弈-AQ版
h0019qthtdw	AlphaGo加冕“荣誉九段”排名全球第二
m0749bjqscy	人工智能攻克围棋，AlphaGo三比零完胜李世石震惊世界
v_19rr7cs1bw	人机大战柯洁0:3遭横扫 坦言深受AlphaGo影响
id_XMTQ5ODkzODQ5Ng==	人机大战：李世石变身“黑客”  AlphaGo盘中崩溃   东方新闻 160313
id_XMTQ5ODc0NjM5Mg==	围棋人机大战 李世石0：3完败 “AlphaGO”也会“打劫” 160313 新闻空间站
id_XMzExMTI3MjcyNA==	人工智能再放“大招”：AlphaGoZero无师自通完爆AlphaGo
av4061845	一瓶晚报-柯洁回应AlphaGo挑战：呵呵
av32093549	【涨涨姿势】震惊！看了两分钟竟然学会下围棋了  围观！柯洁 AlphaGo“四分之一子”的故事 by 柴知道———————————缘恩2220209876上传
v_19rr6zud9o	人机大战第二季八大看点 柯洁与AlphaGo宣战
id_XMzU0NDc1MzAxMg==	王自健分析AlphaGo不来中国原因 柯洁约战演变网吧包宿
y0019md615c	李世石第四局逼AlphaGo认输
id_XMjgzOTMyMTk0NA==	【And2安菟】【S01E06AlphaGo退役真相】
h05050ez861	九段棋手谈AlphaGo
id_XMTUwMTM0MjE5Mg==	「科技Time」央视315曝光大集合 AlphaGo人机大战终结束
o0187oe4tj4	AlphaGo这只“狗”是如何下棋的？ | 旅立日记
id_XMTUwMzYyODE3Mg==	鸿观点：AlphaGo如何进行围棋对弈
id_XMjc4NjIwNTIxMg==	配对赛连笑逆转古力一方 人类终胜AlphaGo
h00230qh8av	惨败的柯洁比AlphaGo强在哪儿
p0563n6hgdm	AlphaGo首席研究员：要用阿尔法狗解决现实问题
av46436523	我们都误会了AI?请不要再随便使用人工智能这个词来描述那些自动化机械了！正确提高手机逼格的方法第24期
id_XMTUwMTMyNjc1Ng==	聂卫平-李世石表现很差_中国棋手没人能赢alphago
av4223735	苹果发布iPhone se 李世石不敌alphago 科技一周大事件
a0197cjxygj	阿尔法围棋AlphaGo
m0019zcraxa	AlphaGo如何“学”下围棋？
z0518s87z0t	AlphaGo纪录片官方预告
av24746968	【碧蓝海事局】3船极限S胜Extra狂咲之花Boss长门&陆奥Lv115 200管血
id_XNDExNjc3NjU1Mg==	AlphaGo Zero横空出世 英国为何能扛起AI创新的大旗？
id_XMTUwMTQ1NzEzMg==	【爱范儿出品】AlphaGo 4:1 李世石围棋赛全程回顾
id_XMzExNjI5Mjg3Mg==	AlphaGo Zero 为什么更厉害
c0188djsc5l	德林爆语：如果Alphago是李彦宏的 战果会怎样
p08628qar5m	回顾：柯洁直言绝艺实力很强可比肩AlphaGo,童梦成下出一步AI式棋！
i0503t1gxwu	柯洁对决AlphaGo，AlphaGo强大到如此地步，是何种元素的注入令其有如神助？
id_XMjc4ODkyMTM5Mg==	柯洁对弈AlphaGo：一波三折  孤独勇士虽败犹荣 新闻深一度 170527
v_19rrl0zwm0	AlphaGo将战星际争霸2，小米仿照苹果推小屏se
c086838rtl5	AlphaGo之父！关于围棋！人类3000年来犯了一个大错！简直太多余了！
p069605nnov	周睿羊爆料黄博士比赛里笑过AlphaGo纪录片
v_19rr7e5t0c	“人机大战”第一局柯洁不敌AlphaGo
e0516dcqbky	无敌最寂寞 AlphaGo不玩围棋改玩国际象棋了
v_19rrbbw434	柯洁5月下旬对决AlphaGO
v_19rr7d1z3o	柯洁0-3输给AlphaGo
v0696gzgqyx	网友提问alphago的意义是什么AlphaGo纪录片
av20234575	【碧蓝海事局】2船极限S胜凛冬王冠Extra关Boss净化者Lv95 110管血
f0738osw987	AlphaGo公司一年亏27亿,会继续烧钱
v_19rrktl5do	挑战AlphaGo李世石人气飙升超宋仲基
u05298xbzfc	史上最全讲解！围棋大师带你揭秘人工AlphaGo的工作原理！
